iter	Logloss
0	0.6479516979
1	0.6136947586
2	0.5878730519
3	0.5683455475
4	0.5535024562
5	0.5420769523
6	0.5331242838
7	0.5259236448
8	0.5200902032
9	0.5150550053
10	0.5110537664
11	0.5075714975
12	0.5045958106
13	0.5020312727
14	0.4997599131
15	0.4977882319
16	0.4958407867
17	0.4943037041
18	0.4928944765
19	0.4916800247
20	0.4905703917
21	0.4895910486
22	0.4886898699
23	0.4877760158
24	0.4870484389
25	0.4863960013
26	0.4858089993
27	0.4852907345
28	0.4848088546
29	0.4843733121
30	0.4839812371
31	0.4836203775
32	0.4832322416
33	0.4829503011
34	0.482677612
35	0.482430067
36	0.482211447
37	0.4820117842
38	0.4818300936
39	0.4816588652
40	0.4815073669
41	0.4813728378
42	0.481244376
43	0.4811231515
44	0.4810105917
45	0.480898546
46	0.4808084429
47	0.4807150501
48	0.4806367093
49	0.4805479454
50	0.48047373
51	0.480410121
52	0.4803399526
53	0.4802761516
54	0.4802204634
55	0.480168006
56	0.4801170239
57	0.4800593013
58	0.4800021228
59	0.479956337
60	0.4799112456
61	0.47982613
62	0.4797890976
63	0.4797479241
64	0.4797107625
65	0.479674543
66	0.4796392477
67	0.4796068948
68	0.4795797391
69	0.4795479262
70	0.4795194847
71	0.4794949479
72	0.4794696488
73	0.4794402469
74	0.47941457
75	0.4793825302
76	0.479362115
77	0.4793408639
78	0.479321446
79	0.4793023388
80	0.4792764089
81	0.4792625112
82	0.4792367348
83	0.4792142246
84	0.4791982702
85	0.4791748376
86	0.4791546472
87	0.4791059543
88	0.4790831977
89	0.479065461
90	0.4790416776
91	0.4790198498
92	0.4789981567
93	0.4789802442
94	0.4789669254
95	0.4789460328
96	0.4789267017
97	0.4789090165
98	0.4788871354
99	0.4788694852
100	0.4788584002
101	0.4788487529
102	0.4788293817
103	0.4788146469
104	0.4788051375
105	0.4787951483
106	0.4787843817
107	0.4787691903
108	0.4787524669
109	0.4787329202
110	0.4787169109
111	0.4786981934
112	0.4786867688
113	0.4786695632
114	0.4786574379
115	0.4786470952
116	0.4786280831
117	0.4786068619
118	0.4785942636
119	0.4785762815
120	0.478560251
121	0.4785413802
122	0.4785248459
123	0.4785121654
124	0.4785000956
125	0.4784871946
126	0.4784703515
127	0.4784539131
128	0.4784433624
129	0.4784315967
130	0.4784243951
131	0.4784081925
132	0.4783971123
133	0.4783827675
134	0.4783698761
135	0.4783617669
136	0.4783458605
137	0.478339317
138	0.4783035039
139	0.4782895557
140	0.4782782592
141	0.4782667183
142	0.4782611544
143	0.4782529216
144	0.478241638
145	0.478229139
146	0.478212161
147	0.4781987237
148	0.4781858533
149	0.4781754481
150	0.4781702877
151	0.4781578062
152	0.478145632
153	0.4781358143
154	0.4781278784
155	0.4781152044
156	0.4780999198
157	0.4780874819
158	0.4780785527
159	0.4780672517
160	0.4780573352
161	0.4780490832
162	0.478039357
163	0.4780301821
164	0.4780253307
165	0.4780179211
166	0.4780097618
167	0.4779873341
168	0.4779714946
169	0.4779630441
170	0.4779542004
171	0.4779414194
172	0.4779321204
173	0.4779111906
174	0.4779040847
175	0.4778961287
176	0.4778923902
177	0.4778819865
178	0.4778756507
179	0.4778687978
180	0.4778625322
181	0.4778519839
182	0.4778461946
183	0.4778337579
184	0.4778277346
185	0.4778214487
186	0.4778146058
187	0.4778076077
188	0.4778001031
189	0.4777897004
190	0.4777853558
191	0.4777807182
192	0.4777626464
193	0.4777521824
194	0.4777389002
195	0.4777296917
196	0.4777239155
197	0.4777183199
198	0.4777054178
199	0.4776995602
200	0.4776935952
201	0.4776883422
202	0.4776781753
203	0.4776677724
204	0.4776626805
205	0.4776511713
206	0.4776427093
207	0.4776348272
208	0.4776146453
209	0.4775997847
210	0.4775938154
211	0.477581786
212	0.4775695699
213	0.4775649005
214	0.4775604313
215	0.4775537801
216	0.4775466661
217	0.4775379624
218	0.4775338134
219	0.4775253287
220	0.4775205791
221	0.4775145226
222	0.4775013674
223	0.4774929552
224	0.4774852193
225	0.4774741158
226	0.4774682017
227	0.477463239
228	0.4774544811
229	0.4774485317
230	0.477441088
231	0.477435635
232	0.4774317448
233	0.4774270441
234	0.4774201155
235	0.4774138082
236	0.4774025819
237	0.4773976322
238	0.4773930517
239	0.4773892384
240	0.4773773094
241	0.4773664154
242	0.4773591922
243	0.477350161
244	0.4773436429
245	0.4773379022
246	0.4773321466
247	0.4773219407
248	0.4773164502
249	0.4773131125
250	0.4773077652
251	0.4772990578
252	0.4772953984
253	0.4772918836
254	0.4772880717
255	0.4772811588
256	0.4772720305
257	0.4772656971
258	0.4772610391
