iter	Passed	Remaining
0	1079	1078712
1	2005	1000682
2	2917	969455
3	3757	935548
4	4642	923813
5	5605	928585
6	6486	920093
7	7362	912893
8	8267	910377
9	9104	901299
10	9944	894093
11	10741	884406
12	11636	883476
13	12506	880800
14	13300	873386
15	14165	871176
16	14991	866881
17	15848	864596
18	16687	861605
19	17506	857811
20	18330	854561
21	19120	849993
22	19966	848155
23	20845	847714
24	21702	846393
25	22603	846778
26	23371	842243
27	24207	840340
28	25069	839382
29	25809	834520
30	26647	832936
31	27516	832369
32	28388	831865
33	29154	828317
34	30014	827529
35	31023	830752
36	31890	830013
37	32788	830071
38	33663	829491
39	34523	828564
40	35401	828050
41	36280	827538
42	37135	826474
43	38045	826618
44	38945	826512
45	39866	826802
46	40772	826720
47	41556	824205
48	42511	825070
49	43483	826187
50	44408	826352
51	45283	825558
52	46210	825683
53	47033	823952
54	48005	824821
55	48861	823670
56	49648	821369
57	50569	821318
58	51424	820178
59	52370	820463
60	53225	819317
61	54123	818840
62	54930	816978
63	56041	819605
64	56904	818550
65	57801	817985
66	58725	817776
67	59554	816244
68	60449	815630
69	61422	816042
70	62319	815423
71	63171	814213
72	64040	813232
73	64914	812308
74	65689	810171
75	66459	808011
76	67347	807290
77	68234	806563
78	69103	805620
79	69989	804878
80	70874	804119
81	71750	803252
82	72801	804320
83	73999	806949
84	74858	805832
85	75706	804603
86	76556	803402
87	77398	802128
88	78231	800771
89	79122	800016
90	79947	798595
91	80738	796858
92	81606	795882
93	82451	794694
94	83271	793268
95	84090	791856
96	85046	791720
97	85903	790659
98	86903	790905
99	87912	791210
100	88852	790877
101	89585	788700
102	90534	788440
103	91518	788465
104	92531	788717
105	93376	787537
106	94228	786412
107	95156	785921
108	96161	786054
109	96967	784557
110	98022	785064
111	99116	785855
112	100148	786118
113	101031	785213
114	102290	787190
115	103148	786062
116	104025	785078
117	104836	783609
118	105769	783046
119	106721	782626
120	107662	782111
121	108752	782658
122	109788	782799
123	110546	780958
124	111442	780096
125	112350	779322
126	113247	778468
127	114271	778471
128	115210	777895
129	116057	776692
130	116907	775517
131	117894	775247
132	118936	775324
133	119880	774751
134	120843	774290
135	121724	773308
136	122693	772881
137	123510	771490
138	124486	771099
139	125483	770829
140	126398	770045
141	127518	770499
142	128431	769692
143	129214	768109
144	130125	767292
145	131066	766649
146	131973	765803
147	132940	765305
148	133904	764783
149	134900	764437
150	135721	763095
151	136595	762061
152	137511	761254
153	138540	761071
154	139459	760277
155	140278	758944
156	141152	757910
157	142191	757752
158	143071	756748
159	144212	757116
160	145211	756721
161	146076	755627
162	146917	754418
163	147786	753349
164	148673	752376
165	149541	751310
166	150308	749742
167	151226	748930
168	152126	748030
169	152992	746965
170	153852	745870
171	154818	745287
172	155684	744226
173	156707	743908
174	157640	743164
175	158467	741914
176	159321	740799
177	160240	739988
178	161342	740010
179	162270	739230
180	163232	738603
181	164072	737422
182	165013	736700
183	165898	735723
184	166635	734097
185	167441	732783
186	168269	731565
187	168995	729915
188	169872	728922
189	170820	728235
190	171753	727480
191	172615	726422
192	173610	725925
193	174635	725546
194	175725	725430
195	176783	725172
196	177589	723880
197	178464	722872
198	179449	722308
199	180312	721249
200	181252	720501
201	182116	719449
202	183039	718632
203	183935	717707
204	184841	716822
205	185835	716279
206	186869	715882
207	187677	714619
208	188699	714167
209	189658	713478
210	190586	712668
211	191510	711840
212	192507	711283
213	193379	710264
214	194304	709438
215	195081	708074
216	195937	707002
217	196769	705841
218	197551	704510
219	198427	703517
220	199415	702917
221	200269	701846
222	201235	701165
223	202198	700473
224	203146	699727
225	204064	698876
226	204980	698017
227	205743	696640
228	206689	695886
229	207630	695109
230	208503	694109
231	209418	693246
232	210265	692160
233	211108	691065
234	212042	690264
235	213036	689660
236	214038	689077
237	214896	688030
238	215749	686969
239	216907	686873
240	218202	687201
241	219322	686968
242	220299	686282
243	221290	685637
244	222246	684880
245	223285	684378
246	224193	683472
247	225168	682768
248	226127	682015
249	227107	681322
250	228034	680470
251	229151	680181
252	230169	679591
253	230992	678426
254	232028	677886
255	232900	676868
256	233752	675790
257	234771	675195
258	235755	674497
